"Postcode","OA_Code","Total","Percentage"
"M21 9HP","E00026112",9,6
"M21 9HP","E00026118",135,94
"M21 9HQ","E00026112",121,86
"M21 9HQ","E00026118",20,14
"M21 9LP","E00026104",4,80
"M21 9LP","E00026107",1,20
"M21 9ST","E00026081",14,70
"M21 9ST","E00026125",6,30
"M21 9WQ","E00026101",11,16
"M21 9WQ","E00026103",59,84
"M21 9XF","E00026112",10,25
"M21 9XF","E00026118",30,75
"M22 0BU","E00026907",2,2
"M22 0BU","E00026914",96,98
"M22 0BZ","E00026907",23,96
"M22 0BZ","E00026926",1,4
"M22 0DA","E00026907",30,91
"M22 0DA","E00026914",3,9
"M22 0DB","E00026907",13,93
"M22 0DB","E00026926",1,7
"M22 0ED","E00026919",4,10
"M22 0ED","E00026931",37,88
"M22 0ED","E00026932",1,2
"M22 0EE","E00026919",30,88
"M22 0EE","E00026931",4,12
"M22 0ER","E00026931",10,91
"M22 0ER","E00026932",1,9
"M22 0FG","E00026919",27,87
"M22 0FG","E00026926",4,13
"M22 0FH","E00026919",1,4
"M22 0FH","E00026926",27,96
"M22 0HA","E00026935",35,97
"M22 0HA","E00026939",1,3
"M22 0HE","E00026910",1,3
"M22 0HE","E00026939",33,97
"M22 0HG","E00026937",19,95
"M22 0HG","E00026938",1,5
"M22 0HQ","E00026937",63,97
"M22 0HQ","E00026939",2,3
"M22 0HS","E00026937",1,4
"M22 0HS","E00026939",22,96
"M22 0JA","E00026936",41,57
"M22 0JA","E00026937",31,43
"M22 0JN","E00026910",13,87
"M22 0JN","E00026923",2,13
"M22 0JP","E00026923",2,15
"M22 0JP","E00026940",11,85
"M22 0JT","E00026910",2,7
"M22 0JT","E00026923",26,93
"M22 0JU","E00026910",72,99
"M22 0JU","E00026923",1,1
"M22 0JY","E00026910",32,94
"M22 0JY","E00026923",2,6
"M22 0LB","E00026910",10,26
"M22 0LB","E00026935",29,74
"M22 0LG","E00026938",4,80
"M22 0LG","E00026940",1,20
"M22 0LJ","E00026939",4,20
"M22 0LJ","E00026940",16,80
"M22 0LP","E00026938",1,11
"M22 0LP","E00026940",8,89
"M22 0LT","E00026939",4,4
"M22 0LT","E00026940",92,96
"M22 0LU","E00026939",67,94
"M22 0LU","E00026940",4,6
"M22 0LY","E00026910",2,25
"M22 0LY","E00026939",6,75
"M22 0NP","E00026927",1,3
"M22 0NP","E00026932",33,97
"M22 0NR","E00026924",52,96
"M22 0NR","E00026927",2,4
